
"lakeid","sampledate","avsnow","totice","whiteice","blueice"
"CB","1997-01-13",15.9,42.0,30.0,12.0
"CB","1993-01-14",16.4,28.0,17.0,11.0
"CB","2010-01-14",12.1,24.0,21.0,3.0
"CB","1985-01-15",10.1,28.0,6.0,22.0
"CB","1991-01-15",20.2,23.0,0.0,23.0
"CB","1992-01-15",14.4,29.0,5.0,24.0
"CB","2001-01-16",23.5,21.0,13.0,8.0
"CB","1994-01-17",11.9,29.0,17.0,12.0
"CB","1996-01-17",27.2,31.0,31.0,0.0
"CB","2017-01-17",17.9,24.0,16.0,8.0
"CB","1982-01-18",13.9,28.2,19.2,9.0
"CB","1990-01-18",8.5,26.5,20.5,6.0
"CB","1989-01-19",16.5,38.5,22.0,16.5
"CB","1999-01-19",15.2,26.0,0.0,26.0
"CB","1987-01-20",15.0,22.0,17.0,5.0
"CB","1988-01-20",23.1,24.0,20.0,4.0
"CB","1998-01-20",20.0,27.0,6.0,21.0
"CB","2004-01-21",20.9,31.0,11.0,20.0
"CB","2002-01-22",9.9,20.0,14.0,6.0
"CB","2007-01-22",9.0,27.0,10.0,17.0
"CB","2009-01-22",17.9,33.0,17.0,16.0
"CB","2015-01-23",18.0,28.0,13.0,15.0
"CB","2011-01-25",18.4,32.5,13.0,19.5
"CB","2016-01-25",16.5,22.0,8.0,14.0
"CB","2000-01-28",17.0,28.0,18.0,10.0
"CB","2008-01-28",14.0,33.0,15.0,18.0
"CB","2013-01-28",22.4,30.0,7.0,23.0
"CB","2003-02-03",27.3,41.0,41.0,0.0
"CB","2014-02-03",23.4,47.0,29.0,18.0
"CB","1995-02-15",18.4,41.5,6.0,35.5
"CB","1997-02-17",20.4,49.0,41.0,8.0
"CB","2009-02-17",5.0,42.0,20.0,22.0
"CB","2011-02-17",6.6,41.0,16.0,25.0
"CB","1991-02-18",9.4,38.0,30.0,8.0
"CB","2013-02-18",18.6,46.0,18.0,28.0
"CB","1998-02-19",0.7,40.0,25.0,15.0
"CB","1984-02-20",9.1,37.0,21.0,16.0
"CB","1996-02-20",19.2,45.0,40.0,5.0
"CB","2003-02-20",16.2,43.0,5.0,38.0
"CB","2014-02-20",30.4,47.0,27.0,20.0
"CB","1989-02-21",13.6,42.8,26.0,16.8
"CB","2007-02-21",11.0,34.0,13.0,21.0
"CB","1982-02-22",6.7,43.4,17.5,25.9
"CB","2002-02-22",21.6,26.0,14.0,12.0
"CB","2010-02-22",15.3,36.0,23.0,13.0
"CB","2012-02-22",13.4,35.0,24.0,9.0
"CB","1983-02-23",5.0,32.5,21.0,11.5
"CB","1987-02-23",7.7,37.0,21.0,16.0
"CB","1994-02-23",1.0,35.0,15.0,20.0
"CB","2000-02-23",2.3,41.0,17.0,24.0
"CB","2006-02-23",17.2,37.0,27.0,10.0
"CB","2017-02-23",2.5,29.0,23.0,6.0
"CB","2016-02-24",9.0,32.0,23.0,9.0
"CB","1986-02-25",27.4,44.0,34.0,10.0
"CB","1992-02-25",29.0,36.0,31.0,5.0
"CB","1993-02-25",8.9,44.5,32.5,12.0
"CB","1999-02-25",15.0,40.0,40.0,0.0
"CB","2008-02-25",20.9,42.0,24.0,18.0
"CB","1985-02-26",16.5,35.0,9.0,26.0
"CB","1990-02-27",19.2,46.0,30.0,16.0
"CB","2004-02-27",7.8,53.0,29.0,24.0
"CB","2005-02-28",25.2,45.0,19.0,26.0
"CB","1988-02-29",9.6,48.0,43.5,4.5
"CB","2001-03-01",17.0,40.0,34.0,6.0
"CB","2015-03-06",28.0,30.0,24.0,6.0
"CB","1998-03-17",9.1,31.0,20.0,11.0
"CB","2011-03-17",0.0,48.0,20.0,28.0
"CB","2009-03-18",0.0,41.0,19.0,22.0
"CB","1987-03-19",0.0,41.0,41.0,0.0
"CB","1995-03-20",0.0,30.0,30.0,0.0
"CB","1991-03-22",0.0,42.0,15.0,27.0
"CB","1993-03-23",8.6,50.0,33.0,17.0
"CB","2015-03-23",0.0,25.0,19.0,6.0
"CB","1988-03-23",4.1,46.0,41.0,5.0
"CB","2017-03-24",0.0,34.0,24.0,10.0
"CB","1983-03-25",10.3,32.0,22.0,10.0
"CB","2008-03-24",16.1,52.0,25.0,27.0
"CB","1985-03-26",0.5,44.0,18.0,26.0
"CB","1992-03-25",2.9,38.0,31.0,7.0
