
"lakeid","sampledate","avsnow","totice","whiteice","blueice"
"SP","2017-02-22",0.0,32.0,9.0,23.0
"SP","1989-02-23",7.9,58.5,17.5,41.0
"SP","1998-02-23",0.0,35.0,11.0,24.0
"SP","1999-02-23",9.0,41.0,14.0,27.0
"SP","1982-02-24",13.4,49.2,29.3,19.9
"SP","1983-02-24",1.0,29.0,1.0,28.0
"SP","1987-02-24",13.4,41.0,0.0,41.0
"SP","2009-02-24",3.6,55.0,9.0,46.0
"SP","2015-02-24",12.2,43.0,20.0,23.0
"SP","2005-02-25",10.0,54.0,5.0,49.0
"SP","2013-02-25",21.0,45.0,16.0,29.0
"SP","1984-02-27",1.0,47.5,15.0,32.5
"SP","1985-02-27",11.7,48.0,4.0,44.0
"SP","1986-02-27",17.7,51.0,34.0,17.0
"SP","2001-02-28",15.7,44.0,23.0,21.0
"SP","2002-02-28",1.6,38.0,11.0,27.0
"SP","1988-02-29",10.4,54.0,51.0,3.0
"SP","1993-03-01",2.7,60.5,21.5,39.0
"SP","1992-03-01",22.5,41.0,7.0,34.0
"SP","2008-03-03",18.9,48.0,13.0,35.0
"SP","2003-03-06",17.5,61.0,0.0,61.0
"SP","2016-03-07",0.3,43.0,14.0,29.0
"SP","1998-03-18",8.5,37.0,8.0,29.0
"SP","2009-03-20",0.0,56.0,5.0,51.0
"SP","2011-03-21",1.4,43.0,7.0,36.0
"SP","1993-03-22",9.1,56.0,23.0,33.0
"SP","1987-03-24",0.0,34.0,34.0,0.0
"SP","1995-03-24",1.0,34.0,0.0,34.0
"SP","1999-03-24",1.0,53.0,17.0,36.0
"SP","2014-03-24",10.8,72.0,45.0,27.0
"SP","2015-03-24",0.0,38.0,12.0,26.0
"SP","1991-03-25",0.0,53.0,3.0,50.0
"SP","1997-03-25",31.0,44.0,31.0,13.0
"SP","1985-03-26",0.5,56.0,12.0,44.0
"SP","2017-03-27",0.0,31.0,1.0,30.0
"SP","1983-03-28",9.5,39.0,8.0,31.0
"SP","1990-03-28",0.0,39.0,4.0,35.0
"SP","1992-03-27",0.4,52.0,10.0,42.0
"SP","1994-03-28",15.5,44.0,0.0,44.0
"SP","2007-03-28",0.0,27.0,0.0,27.0
"SP","2008-03-27",16.1,50.0,6.0,44.0
"SP","1989-03-29",,50.0,5.0,45.0
"SP","2013-03-29",7.2,59.0,24.0,35.0
"SP","2006-03-31",0.0,41.0,21.0,20.0
"SP","2002-04-01",15.0,54.0,21.0,33.0
"SP","1996-04-01",18.2,70.0,32.0,38.0
"SP","2003-04-02",7.5,48.0,0.0,48.0
"SP","2001-04-03",2.2,45.0,32.0,13.0
"SP","1982-04-05",4.0,51.0,24.7,26.3
"SP","1988-04-04",0.0,58.0,9.5,48.5
"SP","2005-04-06",0.0,42.0,0.0,42.0
"SP","2004-04-07",0.0,39.0,6.0,33.0
"SP","1984-04-10",0.0,44.5,5.0,39.5
"SP","1985-04-11",0.0,50.0,50.0,
"SP","2008-05-02",0.0,0.0,0.0,0.0
"TB","1984-01-03",8.1,35.3,13.2,22.1
"TB","1983-01-10",27.9,17.0,8.0,9.0
"TB","1986-01-10",19.2,25.0,10.0,15.0
"TB","2012-01-10",4.4,25.0,16.0,9.0
"TB","1995-01-12",6.3,31.0,3.5,27.5
"TB","2006-01-12",8.6,26.0,21.0,5.0
"TB","1988-01-14",15.6,23.0,15.0,8.0
"TB","1993-01-14",16.5,29.5,17.0,12.5
"TB","2010-01-14",12.0,24.0,18.0,6.0
"TB","1985-01-15",14.8,26.0,6.0,20.0
"TB","1987-01-15",15.4,23.0,20.0,3.0
"TB","1990-01-15",9.5,27.5,7.5,20.0
"TB","1992-01-15",14.9,26.0,14.0,12.0
"TB","1991-01-16",22.0,24.0,0.0,24.0
"TB","1989-01-17",21.4,31.0,13.5,17.5
"TB","1994-01-17",13.1,20.0,6.0,14.0
"TB","1996-01-17",24.8,28.0,5.0,23.0
"TB","2002-01-17",11.0,17.0,0.0,17.0
"TB","1998-01-19",24.4,21.0,6.0,15.0
"TB","2005-01-20",25.0,31.0,15.0,16.0
"TB","2015-01-20",19.1,30.0,25.0,5.0
"TB","2017-01-20",16.3,26.0,13.0,13.0
"TB","1997-01-21",18.3,44.0,29.0,15.0
"TB","2004-01-21",22.0,32.0,11.0,21.0
"TB","1999-01-22",21.1,30.0,9.0,21.0
"TB","2009-01-22",26.2,32.0,18.0,14.0
"TB","2007-01-23",10.6,28.0,12.0,16.0
"TB","2001-01-24",13.5,23.0,9.0,14.0
"TB","2011-01-24",18.3,34.0,18.0,16.0
"TB","2014-01-24",32.1,30.0,10.0,20.0
"TB","2016-01-25",8.6,24.0,19.0,5.0
"TB","1982-01-27",25.8,32.5,12.1,20.4
"TB","2000-01-27",16.1,27.0,12.0,15.0
"TB","2008-01-28",14.7,34.0,19.0,15.0
"TB","2013-01-28",28.0,25.0,2.0,23.0
"TB","2003-02-04",29.8,41.0,5.0,36.0
"TB","1995-02-14",16.0,36.5,5.0,31.5
"TB","2005-02-15",12.2,42.0,25.0,17.0
"TB","2011-02-15",19.9,36.0,18.0,18.0
"TB","2009-02-17",6.2,48.0,23.0,25.0
"TB","2017-02-17",13.4,34.0,19.0,15.0
"TB","1997-02-18",16.2,55.0,39.0,16.0
"TB","1998-02-18",2.5,39.0,22.0,17.0
"TB","2013-02-18",10.4,41.0,20.0,21.0
"TB","2001-02-19",22.1,38.0,27.0,11.0
"TB","2004-02-19",16.6,50.0,28.0,22.0
"TB","1991-02-20",12.5,39.0,11.0,28.0
"TB","2003-02-20",20.6,42.0,5.0,37.0
"TB","2012-02-20",9.8,35.0,25.0,10.0
"TB","2014-02-20",32.0,46.0,32.0,14.0
"TB","1996-02-21",15.3,50.0,7.0,43.0
"TB","2000-02-21",28.4,21.0,14.0,7.0
"TB","2007-02-21",13.3,36.0,13.0,23.0
"TB","1983-02-22",0.5,31.0,15.0,16.0
"TB","2006-02-22",15.1,38.0,38.0,0.0
"TB","2010-02-22",18.8,33.0,17.0,16.0
"TB","1987-02-23",10.1,37.0,14.0,23.0
"TB","1993-02-24",10.2,49.0,32.0,17.0
"TB","1994-02-24",2.7,46.0,26.0,20.0
"TB","1999-02-24",16.4,44.0,44.0,0.0
"TB","2016-02-24",6.5,33.0,25.0,8.0
"TB","1986-02-25",26.0,40.0,34.0,6.0
"TB","2008-02-25",22.2,42.0,23.0,19.0
"TB","1992-02-26",31.0,40.0,28.0,12.0
"TB","1985-02-27",5.4,31.0,7.0,24.0
"TB","1984-02-28",2.3,46.0,22.0,24.0
"TB","1990-02-28",22.2,50.0,30.0,20.0
"TB","1988-03-01",9.4,44.0,33.0,11.0
"TB","1982-03-03",9.1,39.3,32.7,6.6
"TB","1989-03-06",33.8,46.2,24.0,22.2
"TB","2002-03-06",7.8,38.0,18.0,20.0
"TB","2015-03-06",31.1,32.0,27.0,5.0
"TB","1998-03-16",6.5,34.0,21.0,13.0
"TB","2011-03-16",11.3,48.0,23.0,25.0
"TB","1987-03-20",0.0,35.0,17.0,18.0
"TB","1995-03-20",2.8,36.0,31.0,5.0
"TB","1991-03-21",0.0,47.0,15.0,32.0
"TB","1993-03-23",8.5,50.5,31.5,19.0
"TB","1999-03-23",4.2,43.0,33.0,10.0
"TB","1983-03-24",10.1,30.0,8.0,22.0
"TB","1988-03-23",4.9,51.0,18.0,33.0
"TB","1992-03-23",5.2,44.0,3.0,41.0
"TB","1997-03-24",24.4,57.0,57.0,0.0
"TB","2015-03-24",0.0,25.0,20.0,5.0
"TB","1985-03-25",2.5,47.0,18.0,29.0
"TB","2009-03-25",0.0,42.0,24.0,18.0
"TB","1989-03-27",,58.5,36.5,22.0
"TB","1990-03-27",0.0,41.0,24.5,16.5
"TB","2007-03-27",0.0,25.0,2.0,23.0
"TB","2013-03-27",7.6,60.0,36.0,24.0
"TB","1994-03-28",11.0,36.0,17.0,19.0
"TB","2008-03-27",12.3,53.0,35.0,18.0
"TB","2014-03-28",21.1,60.0,42.0,18.0
"TB","2006-03-29",0.5,47.0,47.0,0.0
"TB","2017-03-29",0.0,36.0,22.0,14.0
"TB","2004-03-29",3.9,54.0,28.0,26.0
"TB","1986-03-31",0.8,28.0,22.0,6.0
"TB","2005-03-31",1.3,44.0,20.0,24.0
"TB","2003-04-02",1.6,40.0,2.0,38.0
"TB","1996-04-02",29.3,57.0,26.0,31.0
"TB","2001-04-03",3.9,47.0,39.0,8.0
"TB","1984-04-04",0.0,46.0,14.0,32.0
"TB","1982-04-06",8.2,52.0,41.0,11.0
"TB","1985-04-10",0.0,48.0,24.0,
"TB","2002-04-12",0.0,51.0,27.0,24.0
"TB","1995-11-09",,2.5,0.0,2.5
"TB","1983-11-14",,2.0,,
"TB","1982-11-30",0.5,11.0,0.0,11.0
"TR","1985-01-08",4.0,25.0,5.0,20.0
"TR","1984-01-09",1.4,35.6,13.0,22.6
"TR","1986-01-09",7.5,40.0,3.0,37.0
"TR","1983-01-10",15.8,21.2,0.0,21.2
"TR","1995-01-10",1.5,34.5,0.0,34.5
"TR","1993-01-12",14.6,28.5,2.0,26.5
"TR","1987-01-13",1.8,35.0,0.0,35.0
"TR","2010-01-13",3.4,36.0,9.0,27.0
"TR","2011-01-13",9.3,34.0,0.0,34.0
"TR","1992-01-14",9.0,36.0,8.0,28.0
"TR","1991-01-15",8.1,31.0,0.0,31.0
"TR","2013-01-15",0.0,29.0,3.0,26.0
"TR","2015-01-15",19.1,31.0,10.0,21.0
"TR","1989-01-16",20.2,27.0,0.0,27.0
"TR","1990-01-16",1.0,41.0,10.0,31.0
"TR","1998-01-16",16.6,23.0,0.0,23.0
"TR","2003-01-16",1.9,45.0,0.0,45.0
"TR","2012-01-16",0.6,22.0,1.0,21.0
"TR","2014-01-16",17.2,40.0,0.0,40.0
"TR","1988-01-18",6.5,36.0,1.0,35.0
"TR","2007-01-18",2.8,28.0,4.0,24.0
"TR","1982-01-19",3.5,48.0,5.0,43.0
"TR","2000-01-19",15.9,35.0,0.0,35.0
"TR","2009-01-19",19.5,39.0,4.0,35.0
"TR","2017-01-19",11.3,29.0,0.0,29.0
"TR","1999-01-20",16.9,34.0,0.0,34.0
"TR","2006-01-20",10.8,24.0,10.0,14.0
"TR","2002-01-21",3.9,24.0,0.0,24.0
"TR","2005-01-21",12.4,44.0,6.0,38.0
"TR","1997-01-24",27.6,31.5,13.0,18.5
"TR","2001-01-25",8.0,32.0,16.0,16.0
"TR","1996-01-26",7.2,39.0,15.0,24.0
"TR","1994-01-27",16.5,35.0,0.0,35.0
"TR","2004-01-27",16.8,45.0,8.0,37.0
"TR","2008-02-01",7.0,46.0,9.0,37.0
"TR","2016-02-01",10.9,23.0,0.0,23.0
"TR","2010-02-10",6.7,43.0,10.0,33.0
"TR","2017-02-13",8.6,43.0,5.0,38.0
"TR","2006-02-14",8.2,36.0,16.0,20.0
"TR","1983-02-16",7.7,42.7,18.5,24.2
"TR","1995-02-16",8.0,46.0,0.0,46.0
"TR","2004-02-16",22.4,46.0,8.0,38.0
"TR","2009-02-16",1.7,49.0,7.0,42.0
"TR","2011-02-16",12.3,44.0,3.0,41.0
"TR","2014-02-19",37.3,45.0,5.0,40.0
"TR","1991-02-20",9.6,48.0,0.0,48.0
"TR","1998-02-20",0.0,29.0,6.0,23.0
"TR","1984-02-21",4.3,54.0,13.0,41.0
"TR","1989-02-21",3.7,55.0,2.0,53.0
"TR","1990-02-21",16.9,48.0,15.0,33.0
"TR","1997-02-21",6.0,54.0,39.0,15.0
"TR","2013-02-21",23.2,47.0,0.0,47.0
"TR","1996-02-22",13.4,57.0,20.0,37.0
"TR","2012-02-22",10.9,37.0,1.0,36.0
"TR","1994-02-23",1.0,44.0,0.0,44.0
"TR","2000-02-24",17.8,40.0,0.0,40.0
"TR","1985-02-25",7.9,46.0,3.0,43.0
"TR","2002-02-25",13.8,32.0,1.0,31.0
"TR","1987-02-26",11.3,48.0,0.0,48.0
"TR","1999-02-26",8.9,47.0,17.0,30.0
"TR","2007-02-26",9.5,60.0,6.0,54.0
"TR","2001-02-27",14.2,45.0,25.0,20.0
"TR","2008-02-27",13.4,53.0,6.0,47.0
"TR","1993-03-01",3.0,62.5,10.5,52.0
"TR","1982-03-02",9.5,60.0,17.0,43.0
"TR","2015-03-02",3.2,65.0,21.0,44.0
"TR","2016-03-01",0.2,43.0,8.0,35.0
"TR","2005-03-03",13.9,56.0,8.0,48.0
"TR","1986-03-04",23.2,47.0,7.0,40.0
"TR","1988-03-03",4.1,65.0,60.0,5.0
"TR","1992-03-04",15.2,42.0,6.0,36.0
"TR","2003-03-11",19.6,62.0,0.0,62.0
"TR","2011-03-17",0.0,52.0,6.0,46.0
"TR","1998-03-20",6.5,30.0,8.0,22.0
"TR","1995-03-21",5.0,38.5,38.5,0.0
"TR","1993-03-22",7.2,63.0,13.0,50.0
"TR","2017-03-22",0.0,44.0,3.0,41.0
"TR","2009-03-23",0.0,51.0,0.0,51.0
"TR","1985-03-25",3.7,58.0,15.0,43.0
"TR","1987-03-26",0.0,35.0,35.0,0.0
"TR","1992-03-25",3.1,49.0,12.0,37.0
"TR","1999-03-26",0.3,53.0,17.0,36.0
"TR","2014-03-26",9.5,77.0,19.0,58.0
"TR","2015-03-27",4.7,49.0,4.0,45.0
"TR","1989-03-28",,61.0,8.0,53.0
"TR","2013-03-28",8.3,61.0,15.0,46.0
"TR","1983-03-29",9.2,39.0,8.0,31.0
"TR","2007-03-29",0.0,41.0,0.0,41.0
"TR","2008-03-28",8.2,61.0,8.0,53.0
"TR","1990-03-30",0.0,41.0,7.0,34.0
"TR","2004-03-30",0.0,52.0,12.0,40.0
"TR","1991-04-01",1.3,48.0,3.0,45.0
"TR","1986-04-03",0.0,33.0,0.0,33.0
"TR","1996-04-02",22.5,66.0,26.0,40.0
"TR","2002-04-03",12.3,61.0,23.0,38.0
"TR","2003-04-03",5.7,58.0,1.0,57.0
"TR","1994-04-04",7.7,44.0,4.0,40.0
"TR","2005-04-05",0.0,43.0,3.0,40.0
"TR","2006-04-05",0.0,32.0,8.0,24.0
"TR","1982-04-06",2.2,62.5,11.0,51.5
"TR","2001-04-06",1.0,47.0,24.0,23.0
"TR","1988-04-07",0.0,46.0,46.0,0.0
"TR","1997-04-09",0.1,41.0,11.0,30.0
"TR","1984-04-11",0.0,50.0,4.0,46.0
"TR","1985-04-12",0.0,,,
