lakeid,sampledate,avsnow,totice,whiteice,extcoef,lakeid,sampledate,depth,o2,deck,light,frlight,,sampledate,avsnow,totice,whiteice,extcoef
SP,1/20/82,4.3,43,22.5,,SP,6/4/81,0,8.8,,,,,,,,,
SP,2/24/82,13.4,49.2,29.3,,SP,6/4/81,1,8.9,,,,,,,,,
SP,4/5/82,4,51,24.7,,SP,6/4/81,2,8.9,,,,,,,,,
SP,1/13/83,24,27,1,,SP,6/4/81,3,8.9,,,,,,,,,
SP,2/24/83,1,29,1,,SP,6/4/81,4,8.9,,,,,,,,,
SP,3/28/83,9.5,39,8,,SP,6/4/81,5,10.5,,,,,,,,,
SP,1/6/84,2.7,36.2,11.8,,SP,6/4/81,6,11.3,,,,,,,,,
SP,2/27/84,1,47.5,15,,SP,6/4/81,7,11.2,,,,,,,,,
SP,4/10/84,0,44.5,5,,SP,6/4/81,8,11,,,,,,,,,
SP,1/11/85,8.8,28.7,3,0.355,SP,6/4/81,9,11,,,,,,,,,
SP,2/27/85,11.7,48,4,0.272,SP,6/4/81,10,10.9,,,,,,,,,
SP,3/26/85,0.5,56,12,0.233,SP,6/4/81,11,10.6,,,,,,,,,
SP,4/11/85,0,50,50,,SP,6/4/81,12,10.2,,,,,,,,,
SP,1/14/86,17.5,29,6,0.507,SP,6/4/81,13,9.9,,,,,,,,,
SP,2/27/86,17.7,51,34,,SP,6/4/81,14,8.9,,,,,,,,,
SP,1/14/87,3.5,24,0,0.342,SP,6/4/81,15,8.5,,,,,,,,,
SP,2/24/87,13.4,41,0,0.352,SP,6/4/81,16,7.6,,,,,,,,,
SP,3/24/87,0,34,34,0.327,SP,6/4/81,17,7.1,,,,,,,,,
SP,1/19/88,2.8,35,16,,SP,6/4/81,18,6.1,,,,,,,,,
SP,2/29/88,10.4,54,51,0.282,SP,6/4/81,19,5.8,,,,,,,,,
SP,4/4/88,0,58,9.5,0.271,SP,6/16/81,0,,,400,,,,,,,
SP,1/12/89,18.3,33,0,,SP,6/16/81,1,,,160,,,,,,,
SP,2/23/89,7.9,58.5,17.5,0.302,SP,6/16/81,2,,,145,,,,,,,
SP,3/29/89,,50,5,0.218,SP,6/16/81,3,,,325,,,,,,,
SP,1/17/90,15.9,36,,,SP,6/16/81,4,,,225,,,,,,,
SP,2/19/90,15.9,51,10,0.373,SP,6/16/81,5,,,180,,,,,,,
SP,3/28/90,0,39,4,,SP,6/16/81,6,,,125,,,,,,,
SP,1/16/91,8.8,38,5,,SP,6/16/81,7,,,93,,,,,,,
SP,2/19/91,8.6,55,5,,SP,6/16/81,8,,,69,,,,,,,
SP,3/25/91,0,53,3,0.3,SP,6/16/81,9,,,48,,,,,,,
SP,1/14/92,11.3,30,7,0.388,SP,6/16/81,10,,,36,,,,,,,
SP,3/1/92,22.5,41,7,0.316,SP,6/16/81,11,,,,,,,,,,
SP,3/27/92,0.4,52,10,0.3,SP,6/16/81,12,,,27,,,,,,,
SP,1/13/93,19,36.5,6,,SP,6/16/81,13,,,19.5,,,,,,,
SP,3/1/93,2.7,60.5,21.5,,SP,6/16/81,14,,,15.5,,,,,,,
SP,3/22/93,9.1,56,23,0.284,SP,6/16/81,15,,,5.1,,,,,,,
SP,1/12/94,6.8,30,10,0.566,SP,6/16/81,16,,,4,,,,,,,
SP,2/21/94,0,39,6,0.285,SP,6/16/81,17,,,2.7,,,,,,,
SP,3/28/94,15.5,44,0,,SP,6/16/81,18,,,2.2,,,,,,,
SP,1/9/95,2.1,30,2,0.62,SP,6/16/81,19,,,0.9,,,,,,,
SP,2/20/95,15.5,42,1,,SP,6/16/81,20,,,0.5,,,,,,,
SP,3/24/95,1,34,0,0.249,SP,6/16/81,20.3,,,0,,,,,,,
SP,1/24/96,11,51,22,0.855,SP,6/30/81,0,7.5,,1100,,,,,,,
SP,2/21/96,11.7,53,26,0.318,SP,6/30/81,1,7.4,,500,,,,,,,
SP,4/1/96,18.2,70,32,,SP,6/30/81,2,7.4,,320,,,,,,,
SP,1/14/97,11,37,26,,SP,6/30/81,3,7.4,,170,,,,,,,
SP,2/17/97,24.5,40,26,,SP,6/30/81,4,7.4,,130,,,,,,,
SP,3/25/97,31,44,31,,SP,6/30/81,5,7.5,,100,,,,,,,
SP,1/12/98,17.5,26,0,,SP,6/30/81,6,8.1,,54,,,,,,,
SP,2/23/98,0,35,11,0.359,SP,6/30/81,7,9.1,,50,,,,,,,
SP,3/18/98,8.5,37,8,,SP,6/30/81,8,10.1,,40,,,,,,,
SP,1/18/99,22.9,26,0,,SP,6/30/81,9,9.8,,31,,,,,,,
SP,2/23/99,9,41,14,,SP,6/30/81,10,9.4,,24,,,,,,,
SP,3/24/99,1,53,17,0.418,SP,6/30/81,11,9,,16,,,,,,,
SP,1/18/00,18.9,27.5,0.5,,SP,6/30/81,12,8.2,,15,,,,,,,
SP,2/22/00,27.6,36,2,,SP,6/30/81,13,7.3,,10,,,,,,,
SP,1/22/01,20.7,32,10,0.309,SP,6/30/81,14,6.3,,8,,,,,,,
SP,2/28/01,15.7,44,23,0.212,SP,6/30/81,15,5.7,,6.5,,,,,,,
SP,4/3/01,2.2,45,32,0.232,SP,6/30/81,16,4.6,,4.8,,,,,,,
SP,1/16/02,5.1,16.5,4,0.416,SP,6/30/81,17,4,,3.1,,,,,,,
SP,2/28/02,1.6,38,11,0.267,SP,6/30/81,18,3.4,,1.8,,,,,,,
SP,4/1/02,15,54,21,0.189,SP,6/30/81,19,2.3,,0.6,,,,,,,
SP,1/15/03,1,45,0,,SP,6/30/81,20,,,0.1,,,,,,,
SP,3/6/03,17.5,61,0,0.238,SP,7/16/81,0,,760,440,0.579,,,,,,
SP,4/2/03,7.5,48,0,0.411,SP,7/16/81,1,,,400,,,,,,,
SP,1/12/04,10,37,8,,SP,7/16/81,2,,,310,,,,,,,
SP,2/18/04,29.7,42,7,,SP,7/16/81,3,,,220,,,,,,,
SP,4/7/04,0,39,6,0.25,SP,7/16/81,4,,,145,,,,,,,
SP,1/19/05,11.2,43,0,,SP,7/16/81,5,,,70,,,,,,,
SP,2/25/05,10,54,5,0.509,SP,7/16/81,6,,,52,,,,,,,
SP,4/6/05,0,42,0,0.397,SP,7/16/81,7,,,36,,,,,,,
SP,1/17/06,12.5,29,6,,SP,7/16/81,8,,,27.5,,,,,,,
SP,2/13/06,23.6,33,12,,SP,7/16/81,9,,,20.5,,,,,,,
SP,3/31/06,0,41,21,0.272,SP,7/16/81,10,,,15.5,,,,,,,
SP,1/15/07,6.8,29,8,0.53,SP,7/16/81,11,,,12,,,,,,,
SP,2/20/07,8.7,42,5,0.315,SP,7/16/81,12,,,9.5,,,,,,,
SP,3/28/07,0,27,0,0.283,SP,7/16/81,13,,,7.5,,,,,,,
SP,1/17/08,11.1,33,8,0.356,SP,7/16/81,14,,,5.6,,,,,,,
SP,3/3/08,18.9,48,13,0.236,SP,7/16/81,15,,,4.2,,,,,,,
SP,3/27/08,16.1,50,6,0.236,SP,7/16/81,16,,,2.6,,,,,,,
SP,5/2/08,0,0,0,,SP,7/16/81,17,,,1.5,,,,,,,
SP,1/20/09,17.8,45,6,,SP,7/16/81,18,,,0.8,,,,,,,
SP,2/24/09,3.6,55,9,0.278,SP,7/16/81,19,,,0.2,,,,,,,
SP,3/20/09,0,56,5,0.269,SP,7/16/81,20,,,0,,,,,,,
SP,1/12/10,5.7,32,17,0.267,SP,7/27/81,0,9.1,230,155.5,0.676,,,,,,
SP,2/11/10,9.4,46,14,0.275,SP,7/27/81,1,9.1,,88,,,,,,,
SP,1/18/11,16.9,31,10,0.224,SP,7/27/81,2,9.1,,63,,,,,,,
SP,2/14/11,16.9,35,11,0.216,SP,7/27/81,3,9.1,,48.5,,,,,,,
SP,3/21/11,1.4,43,7,0.284,SP,7/27/81,4,9.1,,37,,,,,,,
SP,1/12/12,9,29,1,0.372,SP,7/27/81,5,9.1,,28,,,,,,,
SP,2/21/12,9.4,41,11,0.285,SP,7/27/81,6,9,,20.1,,,,,,,
SP,1/14/13,0,21,1,0.319,SP,7/27/81,7,13.6,,15,,,,,,,
SP,2/25/13,21,45,16,0.253,SP,7/27/81,8,12.8,,10.1,,,,,,,
SP,3/29/13,7.2,59,24,0.257,SP,7/27/81,9,12.5,,7.3,,,,,,,
SP,1/30/14,32.1,38,7,0.225,SP,7/27/81,10,12,,5.6,,,,,,,
SP,2/17/14,22,50,32,0.263,SP,7/27/81,11,11.2,,4.2,,,,,,,
SP,3/24/14,10.8,72,45,0.166,SP,7/27/81,12,9.5,,3.1,,,,,,,
SP,1/14/15,24.1,23,10,0.228,SP,7/27/81,13,8.6,,2.3,,,,,,,
SP,2/24/15,12.2,43,20,0.208,SP,7/27/81,14,6.8,,1.7,,,,,,,
SP,3/24/15,0,38,12,0.319,SP,7/27/81,15,5.2,,1.2,,,,,,,
SP,1/21/16,6.5,22,5,0.453,SP,7/27/81,16,3.3,,0.7,,,,,,,
SP,3/7/16,0.3,43,14,0.319,SP,7/27/81,17,1.8,,0.4,,,,,,,
SP,1/17/17,16.5,26,9,,SP,7/27/81,18,1.7,,0.2,,,,,,,
SP,2/22/17,0,32,9,,SP,7/27/81,19,1.7,,0,,,,,,,
SP,3/27/17,0,31,1,,SP,8/11/81,0,,970,650,0.67,,,,,,
,,,,,,SP,8/11/81,1,,,450,,,,,,,
,,,,,,SP,8/11/81,2,,,270,,,,,,,
,,,,,,SP,8/11/81,3,,,220,,,,,,,
,,,,,,SP,8/11/81,4,,,175,,,,,,,
,,,,,,SP,8/11/81,5,,,125,,,,,,,
,,,,,,SP,8/11/81,6,,,87,,,,,,,
,,,,,,SP,8/11/81,7,,,62,,,,,,,
,,,,,,SP,8/11/81,8,,,40,,,,,,,
,,,,,,SP,8/11/81,9,,,28,,,,,,,
,,,,,,SP,8/11/81,10,,,19.5,,,,,,,
,,,,,,SP,8/11/81,11,,,14,,,,,,,
,,,,,,SP,8/11/81,12,,,10,,,,,,,
,,,,,,SP,8/11/81,13,,,7.2,,,,,,,
,,,,,,SP,8/11/81,14,,,5.2,,,,,,,
,,,,,,SP,8/11/81,15,,,3.9,,,,,,,
,,,,,,SP,8/11/81,16,,,2.5,,,,,,,
,,,,,,SP,8/11/81,17,,,1.3,,,,,,,
,,,,,,SP,8/11/81,18,,,0.7,,,,,,,
,,,,,,SP,8/11/81,19,,,0.3,,,,,,,
,,,,,,SP,8/25/81,0,9.3,620,410,0.661,,,,,,
,,,,,,SP,8/25/81,1,9.3,,300,,,,,,,
,,,,,,SP,8/25/81,2,9.4,,220,,,,,,,
,,,,,,SP,8/25/81,3,9.4,,160,,,,,,,
,,,,,,SP,8/25/81,4,9.4,,105,,,,,,,
,,,,,,SP,8/25/81,5,9.3,,72,,,,,,,
,,,,,,SP,8/25/81,6,9.3,,65,,,,,,,
,,,,,,SP,8/25/81,7,11.8,,43,,,,,,,
,,,,,,SP,8/25/81,8,14.1,,36,,,,,,,
,,,,,,SP,8/25/81,9,13.2,,24.5,,,,,,,
,,,,,,SP,8/25/81,10,12.4,,16.5,,,,,,,
,,,,,,SP,8/25/81,11,11.3,,10.5,,,,,,,
,,,,,,SP,8/25/81,12,9.5,,8.2,,,,,,,
,,,,,,SP,8/25/81,13,6.8,,6.4,,,,,,,
,,,,,,SP,8/25/81,14,4,,4.7,,,,,,,
,,,,,,SP,8/25/81,15,0.5,,3,,,,,,,
,,,,,,SP,8/25/81,16,0.1,,1.8,,,,,,,
,,,,,,SP,8/25/81,17,0.1,,1.2,,,,,,,
,,,,,,SP,8/25/81,18,0.1,,0.7,,,,,,,
,,,,,,SP,8/25/81,19,0.1,,0.2,,,,,,,
,,,,,,SP,9/15/81,0,,910,560,0.615,,,,,,
,,,,,,SP,9/15/81,1,,,370,,,,,,,
,,,,,,SP,9/15/81,2,,,260,,,,,,,
,,,,,,SP,9/15/81,3,,,215,,,,,,,
,,,,,,SP,9/15/81,4,,,160,,,,,,,
,,,,,,SP,9/15/81,5,,,120,,,,,,,
,,,,,,SP,9/15/81,6,,,80,,,,,,,
,,,,,,SP,9/15/81,7,,,62,,,,,,,
,,,,,,SP,9/15/81,8,,,45,,,,,,,
,,,,,,SP,9/15/81,9,,,34,,,,,,,
,,,,,,SP,9/15/81,10,,,23,,,,,,,
,,,,,,SP,9/15/81,11,,,14.5,,,,,,,
,,,,,,SP,9/15/81,12,,,10.5,,,,,,,
,,,,,,SP,9/15/81,13,,,7.2,,,,,,,
,,,,,,SP,9/15/81,14,,,4.5,,,,,,,
,,,,,,SP,9/15/81,15,,,2.6,,,,,,,
,,,,,,SP,9/15/81,16,,,1.6,,,,,,,
,,,,,,SP,9/15/81,17,,,1,,,,,,,
,,,,,,SP,9/15/81,18,,,0.4,,,,,,,
,,,,,,SP,9/15/81,19,,,0.1,,,,,,,
,,,,,,SP,9/15/81,19.8,,,0,,,,,,,
,,,,,,SP,9/22/81,0,,978,510,0.521,,,,,,
,,,,,,SP,9/22/81,1,,,450,,,,,,,
,,,,,,SP,9/22/81,2,,,235,,,,,,,
,,,,,,SP,9/22/81,3,,,210,,,,,,,
,,,,,,SP,9/22/81,4,,,155,,,,,,,
,,,,,,SP,9/22/81,5,,,115,,,,,,,
,,,,,,SP,9/22/81,6,,,50,,,,,,,
,,,,,,SP,9/22/81,7,,,37.4,,,,,,,
,,,,,,SP,9/22/81,8,,,44.5,,,,,,,
,,,,,,SP,9/22/81,9,,,34,,,,,,,
,,,,,,SP,9/22/81,10,,,29,,,,,,,
,,,,,,SP,9/22/81,11,,,18.5,,,,,,,
,,,,,,SP,9/22/81,12,,,12.9,,,,,,,
,,,,,,SP,9/22/81,13,,,8.9,,,,,,,
,,,,,,SP,9/22/81,14,,,4.9,,,,,,,
,,,,,,SP,9/22/81,15,,,2.7,,,,,,,
,,,,,,SP,9/22/81,16,,,1.9,,,,,,,
,,,,,,SP,9/22/81,17,,,1,,,,,,,
,,,,,,SP,9/22/81,18,,,0.5,,,,,,,
,,,,,,SP,9/22/81,19,,,0.2,,,,,,,
,,,,,,SP,10/19/81,0,9.7,133,82,0.617,,,,,,
,,,,,,SP,10/19/81,1,9.7,,32,,,,,,,
,,,,,,SP,10/19/81,2,9.7,,29.2,,,,,,,
,,,,,,SP,10/19/81,3,9.6,,18.7,,,,,,,
,,,,,,SP,10/19/81,4,9.7,,14.2,,,,,,,
,,,,,,SP,10/19/81,5,9.6,,9.8,,,,,,,
,,,,,,SP,10/19/81,6,9.6,,6.9,,,,,,,
,,,,,,SP,10/19/81,7,9.6,,5,,,,,,,
,,,,,,SP,10/19/81,8,9.5,,3.8,,,,,,,
,,,,,,SP,10/19/81,9,9.5,,2.9,,,,,,,
,,,,,,SP,10/19/81,10,9.5,,2.5,,,,,,,
,,,,,,SP,10/19/81,11,9.4,,2.1,,,,,,,
,,,,,,SP,10/19/81,12,9.4,,1.9,,,,,,,
,,,,,,SP,10/19/81,13,9.3,,1.7,,,,,,,
,,,,,,SP,10/19/81,14,6.2,,1.7,,,,,,,
,,,,,,SP,10/19/81,15,2,,1.2,,,,,,,
,,,,,,SP,10/19/81,16,0.3,,0.9,,,,,,,
,,,,,,SP,10/19/81,17,0.2,,0.9,,,,,,,
,,,,,,SP,10/19/81,18,0.2,,0.8,,,,,,,
,,,,,,SP,10/19/81,18.5,0.2,,0.8,,,,,,,
,,,,,,SP,12/2/81,0,11.7,95,65,0.684,,,,,,
,,,,,,SP,12/2/81,1,11.7,,24,,,,,,,
,,,,,,SP,12/2/81,2,11.7,,19.8,,,,,,,
,,,,,,SP,12/2/81,3,11.6,,15.3,,,,,,,
,,,,,,SP,12/2/81,4,11.5,,9.6,,,,,,,
,,,,,,SP,12/2/81,5,11.5,,6.6,,,,,,,
,,,,,,SP,12/2/81,6,11.5,,4.4,,,,,,,
,,,,,,SP,12/2/81,7,11.6,,2.9,,,,,,,
,,,,,,SP,12/2/81,8,11.8,,1.9,,,,,,,
,,,,,,SP,12/2/81,9,11.9,,1.2,,,,,,,
,,,,,,SP,12/2/81,10,12.1,,0.8,,,,,,,
,,,,,,SP,12/2/81,11,12.2,,0.5,,,,,,,
,,,,,,SP,12/2/81,12,12.4,,0.3,,,,,,,
,,,,,,SP,12/2/81,13,12.5,,0.2,,,,,,,
,,,,,,SP,12/2/81,14,12.7,,0.2,,,,,,,
,,,,,,SP,12/2/81,15,12.8,,0.1,,,,,,,
,,,,,,SP,12/2/81,16,12.9,,0.1,,,,,,,
,,,,,,SP,12/2/81,17,13,,0,,,,,,,
,,,,,,SP,12/2/81,18,13.1,,,,,,,,,
,,,,,,SP,12/2/81,19,13.1,,,,,,,,,
,,,,,,SP,1/20/82,0,11.4,,,,,1/20/82,4.3,43,22.5,
,,,,,,SP,1/20/82,1,12,,,,,,,,,
,,,,,,SP,1/20/82,2,11.7,,,,,,,,,
,,,,,,SP,1/20/82,3,11.9,,,,,,,,,
,,,,,,SP,1/20/82,4,11.9,,,,,,,,,
,,,,,,SP,1/20/82,5,12.1,,,,,,,,,
,,,,,,SP,1/20/82,6,12.4,,,,,,,,,
,,,,,,SP,1/20/82,7,12.5,,,,,,,,,
,,,,,,SP,1/20/82,8,12.5,,,,,,,,,
,,,,,,SP,1/20/82,9,12.6,,,,,,,,,
,,,,,,SP,1/20/82,10,12.5,,,,,,,,,
,,,,,,SP,1/20/82,11,12.4,,,,,,,,,
,,,,,,SP,1/20/82,12,12.1,,,,,,,,,
,,,,,,SP,1/20/82,13,11.9,,,,,,,,,
,,,,,,SP,1/20/82,14,11.5,,,,,,,,,
,,,,,,SP,1/20/82,15,10.1,,,,,,,,,
,,,,,,SP,1/20/82,16,6.9,,,,,,,,,
,,,,,,SP,1/20/82,17,3.8,,,,,,,,,
,,,,,,SP,1/20/82,18,0.1,,,,,2/24/82,13.4,49.2,29.3,
,,,,,,SP,2/24/82,0,,,,,,,,,,
,,,,,,SP,2/24/82,1,11.3,,,,,,,,,
,,,,,,SP,2/24/82,2,10.4,,,,,,,,,
,,,,,,SP,2/24/82,3,10.3,,,,,,,,,
,,,,,,SP,2/24/82,4,10.3,,,,,,,,,
,,,,,,SP,2/24/82,5,10.1,,,,,,,,,
,,,,,,SP,2/24/82,6,10.1,,,,,,,,,
,,,,,,SP,2/24/82,7,9.9,,,,,,,,,
,,,,,,SP,2/24/82,8,9.8,,,,,,,,,
,,,,,,SP,2/24/82,9,9.7,,,,,,,,,
,,,,,,SP,2/24/82,10,9.5,,,,,,,,,
,,,,,,SP,2/24/82,11,9.4,,,,,,,,,
,,,,,,SP,2/24/82,12,9.1,,,,,,,,,
,,,,,,SP,2/24/82,13,8.5,,,,,,,,,
,,,,,,SP,2/24/82,14,7.4,,,,,,,,,
,,,,,,SP,2/24/82,15,4.8,,,,,,,,,
,,,,,,SP,2/24/82,16,2.6,,,,,,,,,
,,,,,,SP,2/24/82,17,0.8,,,,,,,,,
,,,,,,SP,4/5/82,0,13.4,,,,,4/5/82,4,51,24.7,
,,,,,,SP,4/5/82,1,12.2,,,,,,,,,
,,,,,,SP,4/5/82,2,11.3,,,,,,,,,
,,,,,,SP,4/5/82,3,9.3,,,,,,,,,
,,,,,,SP,4/5/82,4,9.3,,,,,,,,,
,,,,,,SP,4/5/82,5,9,,,,,,,,,
,,,,,,SP,4/5/82,6,8.7,,,,,,,,,
,,,,,,SP,4/5/82,7,8.8,,,,,,,,,
,,,,,,SP,4/5/82,8,8.4,,,,,,,,,
,,,,,,SP,4/5/82,9,8.2,,,,,,,,,
,,,,,,SP,4/5/82,10,7.8,,,,,,,,,
,,,,,,SP,4/5/82,11,7.6,,,,,,,,,
,,,,,,SP,4/5/82,12,7.1,,,,,,,,,
,,,,,,SP,4/5/82,13,6,,,,,,,,,
,,,,,,SP,4/5/82,14,4.9,,,,,,,,,
,,,,,,SP,4/5/82,15,2.4,,,,,,,,,
,,,,,,SP,4/5/82,16,1.4,,,,,,,,,
,,,,,,SP,4/5/82,17,0.4,,,,,,,,,
,,,,,,SP,4/5/82,17.5,,,,,,,,,,
,,,,,,SP,5/12/82,0,10.5,570,265,0.465,,,,,,
,,,,,,SP,5/12/82,1,10.5,600,210,0.35,,,,,,
,,,,,,SP,5/12/82,2,10.5,630,135,0.214,,,,,,
,,,,,,SP,5/12/82,3,10.5,650,100,0.154,,,,,,
,,,,,,SP,5/12/82,4,10.8,650,71,0.109,,,,,,
,,,,,,SP,5/12/82,5,10.7,660,47,0.071,,,,,,
,,,,,,SP,5/12/82,6,10.7,660,30,0.045,,,,,,
,,,,,,SP,5/12/82,7,10.6,660,19,0.029,,,,,,
,,,,,,SP,5/12/82,8,10.6,620,11,0.018,,,,,,
,,,,,,SP,5/12/82,9,10.2,620,7.5,0.012,,,,,,
,,,,,,SP,5/12/82,10,9.6,620,4.7,0.008,,,,,,
,,,,,,SP,5/12/82,11,9.5,620,2.9,0.005,,,,,,
,,,,,,SP,5/12/82,12,9.5,630,1.85,0.003,,,,,,
,,,,,,SP,5/12/82,13,8.2,640,1.15,0.002,,,,,,
,,,,,,SP,5/12/82,14,7.9,650,0.65,0.001,,,,,,
,,,,,,SP,5/12/82,15,7.4,660,0.35,0.001,,,,,,
,,,,,,SP,5/12/82,16,7.2,660,0.15,0,,,,,,
,,,,,,SP,5/12/82,17,7.2,670,0.05,0,,,,,,
,,,,,,SP,5/12/82,18,7.1,670,0,0,,,,,,
,,,,,,SP,5/27/82,0,7.9,410,350,0.854,,,,,,
,,,,,,SP,5/27/82,0.5,,,,,,,,,,
,,,,,,SP,5/27/82,1,7.8,400,185,0.463,,,,,,
,,,,,,SP,5/27/82,2,7.8,390,115,0.295,,,,,,
,,,,,,SP,5/27/82,3,7.9,380,97,0.255,,,,,,
,,,,,,SP,5/27/82,4,8.7,370,79,0.214,,,,,,
,,,,,,SP,5/27/82,5,10.2,370,59,0.159,,,,,,
,,,,,,SP,5/27/82,6,10.4,360,44,0.122,,,,,,
,,,,,,SP,5/27/82,7,10.4,360,33,0.092,,,,,,
,,,,,,SP,5/27/82,8,10.2,360,23.5,0.065,,,,,,
,,,,,,SP,5/27/82,9,10,350,11.75,0.034,,,,,,
,,,,,,SP,5/27/82,10,9.7,350,11.5,0.033,,,,,,
,,,,,,SP,5/27/82,11,8.9,350,8.3,0.024,,,,,,
,,,,,,SP,5/27/82,12,8,340,9.6,0.028,,,,,,
,,,,,,SP,5/27/82,13,7.3,330,5.7,0.017,,,,,,
,,,,,,SP,5/27/82,14,6.7,320,5.7,0.018,,,,,,
,,,,,,SP,5/27/82,15,6.1,260,2,0.008,,,,,,
,,,,,,SP,5/27/82,16,5.4,255,2.35,0.009,,,,,,
,,,,,,SP,5/27/82,17,4.9,260,2.55,0.01,,,,,,
,,,,,,SP,5/27/82,18,4.1,260,2.2,0.008,,,,,,
,,,,,,SP,5/27/82,19,1.2,255,1.8,0.007,,,,,,
,,,,,,SP,6/10/82,0,7.7,600,400,0.667,,,,,,
,,,,,,SP,6/10/82,0.5,,,,,,,,,,
,,,,,,SP,6/10/82,1,7.5,2150,900,0.419,,,,,,
,,,,,,SP,6/10/82,2,7.3,2150,800,0.372,,,,,,
,,,,,,SP,6/10/82,3,7.1,2100,600,0.286,,,,,,
,,,,,,SP,6/10/82,4,7.1,2130,350,0.164,,,,,,
,,,,,,SP,6/10/82,5,8.2,2150,280,0.13,,,,,,
,,,,,,SP,6/10/82,6,9.5,2150,250,0.116,,,,,,
,,,,,,SP,6/10/82,7,9.6,2250,200,0.089,,,,,,
,,,,,,SP,6/10/82,8,9.9,2200,150,0.068,,,,,,
,,,,,,SP,6/10/82,9,9.8,2250,120,0.053,,,,,,
,,,,,,SP,6/10/82,10,8.8,2250,90,0.04,,,,,,
,,,,,,SP,6/10/82,11,8.7,2250,66,0.029,,,,,,
,,,,,,SP,6/10/82,12,7.8,2250,50,0.022,,,,,,
,,,,,,SP,6/10/82,13,7.1,2250,28,0.012,,,,,,
,,,,,,SP,6/10/82,14,7.1,2200,23,0.01,,,,,,
,,,,,,SP,6/10/82,15,6.1,2400,11.5,0.005,,,,,,
,,,,,,SP,6/10/82,16,5.9,2400,19,0.008,,,,,,
,,,,,,SP,6/10/82,17,3.3,2400,2.8,0.001,,,,,,
,,,,,,SP,6/10/82,18,2.2,800,0.8,0.001,,,,,,
,,,,,,SP,6/23/82,0,,710,570,0.803,,,,,,
,,,,,,SP,6/23/82,0.5,,,,,,,,,,
,,,,,,SP,6/23/82,1,,705,375,0.532,,,,,,
,,,,,,SP,6/23/82,2,,695,258,0.371,,,,,,
,,,,,,SP,6/23/82,3,,680,207,0.304,,,,,,
,,,,,,SP,6/23/82,4,,678,180,0.265,,,,,,
,,,,,,SP,6/23/82,5,,645,140,0.217,,,,,,
,,,,,,SP,6/23/82,6,,630,112,0.178,,,,,,
,,,,,,SP,6/23/82,7,,647,87.3,0.135,,,,,,
,,,,,,SP,6/23/82,8,,650,53,0.082,,,,,,
,,,,,,SP,6/23/82,9,,665,56,0.084,,,,,,
,,,,,,SP,6/23/82,10,,695,43,0.062,,,,,,
,,,,,,SP,6/23/82,11,,695,34,0.049,,,,,,
,,,,,,SP,6/23/82,12,,700,26,0.037,,,,,,
,,,,,,SP,6/23/82,13,,715,20.7,0.029,,,,,,
,,,,,,SP,6/23/82,14,,800,16.2,0.02,,,,,,
,,,,,,SP,6/23/82,15,,960,10.2,0.011,,,,,,
,,,,,,SP,6/23/82,16,,1050,6.9,0.007,,,,,,
,,,,,,SP,6/23/82,17,,1030,3.9,0.004,,,,,,
,,,,,,SP,6/23/82,18,,1000,2.63,0.003,,,,,,
,,,,,,SP,7/8/82,0,,,,,,,,,,
,,,,,,SP,7/8/82,0.5,,,,,,,,,,
,,,,,,SP,7/8/82,1,,,,,,,,,,
,,,,,,SP,7/8/82,2,,,,,,,,,,
,,,,,,SP,7/8/82,3,,,,,,,,,,
,,,,,,SP,7/8/82,4,,,,,,,,,,
,,,,,,SP,7/8/82,5,,,,,,,,,,
,,,,,,SP,7/8/82,6,,,,,,,,,,
,,,,,,SP,7/8/82,7,,,,,,,,,,
,,,,,,SP,7/8/82,8,,,,,,,,,,
,,,,,,SP,7/8/82,9,,,,,,,,,,
,,,,,,SP,7/8/82,10,,,,,,,,,,
,,,,,,SP,7/8/82,11,,,,,,,,,,
,,,,,,SP,7/8/82,12,,,,,,,,,,
,,,,,,SP,7/8/82,13,,,,,,,,,,
,,,,,,SP,7/8/82,14,,,,,,,,,,
,,,,,,SP,7/8/82,15,,,,,,,,,,
,,,,,,SP,7/8/82,16,,,,,,,,,,
,,,,,,SP,7/8/82,17,,,,,,,,,,
,,,,,,SP,7/8/82,18,,,,,,,,,,
,,,,,,SP,7/20/82,0,9,,,,,,,,,
,,,,,,SP,7/20/82,0.5,,,,,,,,,,
,,,,,,SP,7/20/82,1,9,,,,,,,,,
,,,,,,SP,7/20/82,2,9.1,,,,,,,,,
,,,,,,SP,7/20/82,3,9.1,,,,,,,,,
,,,,,,SP,7/20/82,4,9.1,,,,,,,,,
,,,,,,SP,7/20/82,5,9.8,,,,,,,,,
,,,,,,SP,7/20/82,6,11,,,,,,,,,
,,,,,,SP,7/20/82,7,13.6,,,,,,,,,
,,,,,,SP,7/20/82,8,13.6,,,,,,,,,
,,,,,,SP,7/20/82,9,13.4,,,,,,,,,
,,,,,,SP,7/20/82,10,13.4,,,,,,,,,
,,,,,,SP,7/20/82,11,13.4,,,,,,,,,
,,,,,,SP,7/20/82,12,13.6,,,,,,,,,
,,,,,,SP,7/20/82,13,13.4,,,,,,,,,
,,,,,,SP,7/20/82,14,10.8,,,,,,,,,
,,,,,,SP,7/20/82,15,6.5,,,,,,,,,
,,,,,,SP,7/20/82,16,1,,,,,,,,,
,,,,,,SP,7/20/82,17,0,,,,,,,,,
,,,,,,SP,7/20/82,18,0,,,,,,,,,
